id,p1,p2,p3,p4,p5
alcar,0.67,0.90,0.35,0.50,0.42
cerun,0.59,0.90,0.34,0.51,0.37
cobol,0.55,0.92,0.30,0.43,0.40
dimit,0.59,0.85,0.26,0.42,0.41
djoko,0.68,0.91,0.31,0.49,0.41
drap,0.61,0.89,0.27,0.41,0.41
fils,0.64,0.91,0.28,0.45,0.42
fritz,0.68,0.93,0.25,0.42,0.43
humbe,0.59,0.88,0.25,0.46,0.43
hurka,0.62,0.93,0.29,0.40,0.42
khach,0.65,0.95,0.27,0.44,0.39
lehec,0.65,0.96,0.28,0.39,0.41
macha,0.64,0.91,0.29,0.43,0.36
medve,0.64,0.86,0.34,0.49,0.39
mensi,0.60,0.88,0.30,0.43,0.40
demin,0.57,0.92,0.33,0.49,0.39
muset,0.66,0.92,0.30,0.44,0.37
paul,0.61,0.94,0.32,0.48,0.40
popyr,0.61,0.92,0.25,0.37,0.41
ruble,0.61,0.91,0.31,0.45,0.38
ruud,0.66,0.91,0.31,0.48,0.41
shelt,0.68,0.89,0.23,0.40,0.46
sinne,0.63,0.94,0.36,0.48,0.45
tiafo,0.60,0.94,0.27,0.47,0.40
zvere,0.72,0.91,0.30,0.48,0.44
alias,0.68,0.91,0.30,0.41,0.41
minau,0.57,0.92,0.33,0.49,0.39
bubli,0.65,0.87,0.26,0.41,0.40
darde,0.57,0.93,0.33,0.42,0.37
tien,0.61,0.88,0.32,0.46,0.39
vache,0.64,0.90,0.29,0.42,0.42
fokin,0.70,0.95,0.29,0.43,0.35
jodar,0.64,0.93,0.35,0.48,0.39
rinde,0.63,0.90,0.25,0.41,0.41
fonse,0.68,0.95,0.27,0.47,0.39
norri,0.63,0.92,0.27,0.44,0.37
etche,0.65,0.92,0.28,0.43,0.39
auger,0.68,0.91,0.30,0.41,0.41
tabil,0.63,0.94,0.30,0.46,0.39
nakas,0.67,0.97,0.27,0.47,0.38
arnal,0.60,0.90,0.33,0.45,0.37
buse,0.59,0.94,0.33,0.46,0.36
moute,0.65,0.92,0.31,0.47,0.35
block,0.61,0.93,0.31,0.43,0.42
miche,0.65,0.91,0.28,0.46,0.37
navon,0.75,0.89,0.35,0.51,0.34
griek,0.62,0.89,0.26,0.41,0.39
shapo,0.58,0.82,0.29,0.44,0.39
clar,0.62,0.92,0.30,0.45,0.36
manna,0.63,0.93,0.26,0.44,0.35
cerun1,0.58,0.93,0.31,0.46,0.38
cilic,0.58,0.91,0.26,0.42,0.38
majch,0.65,0.96,0.28,0.44,0.37
bergs,0.58,0.87,0.29,0.43,0.40
berre,0.64,0.94,0.29,0.39,0.40
kecma,0.62,0.93,0.30,0.46,0.39